date_start,date_end,period,event_type,title,reported_address,source_id,confidence,rights_class,notes
1969-01-01,1969-12-31,pre-cbgb-palace-bar,lease,"Hilly Kristal begins leasing the Palace Bar ground-floor space",315 Bowery,nrhp-bowery,0.95,D,"Year-level date from National Register narrative; exact lease day unresolved."
1971-01-01,1971-12-31,pre-cbgb-palace-bar,venue_status,"Kristal closes the bar but retains the lease",315 Bowery,nrhp-bowery,0.90,D,"Exact date unresolved."
1973-01-01,1973-12-31,cbgb-1973-1976,venue_status,"CBGB name/venue period begins",315 Bowery,nrhp-bowery,0.95,D,"MusicBrainz also uses 1973 as opening year."
1974-05-05,1974-05-05,cbgb-1973-1976,event,"Television / The Stilettos flyer",315 Bowery,cornell-punk-flyers,0.95,D,"Cornell catalog record; preserve source wording and spelling."
1974-08-16,1974-08-16,cbgb-1973-1976,event,"Angel and the Snake / Ramones historical event lead",315 Bowery,village-preservation-image-archive,0.75,D,"Secondary historical source; corroborate with primary flyer/artist archive before event-mode publication."
1975-04-01,1975-04-30,cbgb-1973-1976,visual_evidence,"Metropolis Video crew photographed while shooting Orchestra Luna",315 Bowery,commons-metropolis-1975,0.90,C,"Month from Commons description; valuable early-room/camera evidence."
1975-06-05,1975-06-05,cbgb-1973-1976,event,"Talking Heads first gig, opening for Ramones",315 Bowery,village-preservation-image-archive,0.85,D,"Village Preservation secondary source; seek primary corroboration."
1977-10-01,1977-10-31,cbgb-1977-1982,video_evidence,"Dead Boys at CBGB - multiple NIGHTCLUBBING reels",315 Bowery,nyu-nightclubbing-mss305,0.98,D,"NYU finding aid lists multiple October 1977 items; exact dates may require archive item inspection."
1978-05-01,1978-05-31,cbgb-1977-1982,video_evidence,"Blitz Benefit at CBGB - multiple performance/interview/ambience reels",315 Bowery,nyu-nightclubbing-mss305,0.98,D,"Includes edit reels, backstage ambience, interviews and women's-room ambience; exceptional spatial evidence if licensed/researched."
1979-04-01,1979-04-30,cbgb-1977-1982,video_evidence,"Cuban Heels and Stiletto Fads at CBGB",315 Bowery,nyu-nightclubbing-mss305,0.95,D,"NYU finding aid."
1979-08-01,1979-08-31,cbgb-1977-1982,video_evidence,"Voidoids at CBGB",315 Bowery,nyu-nightclubbing-mss305,0.95,D,"NYU finding aid."
1979-09-01,1979-09-30,cbgb-1977-1982,video_evidence,"Destroy All Monsters / Only Ones / Revelons at CBGB",315 Bowery,nyu-nightclubbing-mss305,0.95,D,"Multiple NYU items provide repeated camera viewpoints."
1979-10-01,1979-10-31,cbgb-1977-1982,video_evidence,"Levi and the Rockats at CBGB",315 Bowery,nyu-nightclubbing-mss305,0.95,D,"Multiple segments in NYU finding aid."
1979-12-01,1979-12-31,cbgb-1977-1982,video_evidence,"Bad Brains at CBGB",315 Bowery,nyu-nightclubbing-mss305,0.98,D,"Color/sound, 31 minutes listed in NYU finding aid."
1980-02-01,1980-02-29,cbgb-1977-1982,video_evidence,"Pin-ups / Student Teachers at CBGB",315 Bowery,nyu-nightclubbing-mss305,0.95,D,"NYU finding aid."
1983-04-22,1983-04-22,cbgb-1983-1989,event,"Bad Posture / Flipper flyer",317 Bowery,cornell-punk-flyers,0.92,D,"Important 317 Bowery address variant; retain as reported and investigate relationship to expanded CBGB/CB's spaces."
1985-03-31,1985-03-31,cbgb-1983-1989,event,"Cro-Mags / No Remorse / Violent Children / Unwanted flyer",317 Bowery,cornell-punk-flyers,0.90,D,"Reported-address variant; geometry implication unresolved."
1986-01-01,1986-12-31,cbgb-1983-1989,visual_evidence,"Cynthia MacAdams CBGB photograph",315 Bowery,nypl-cynthia-macadams-1986,0.95,D,"NYPL copyright-protected photograph; reference only unless licensed."
2004-09-20,2004-09-20,cbgb-2000-2005,visual_evidence,"Open-licensed front-facade photograph",315 Bowery,commons-facade-2004,0.98,C,"Useful for facade registration/signage."
2005-01-01,2005-12-31,cbgb-2000-2005,visual_evidence,"Open-licensed late-club exterior/stage/toilet images",315 Bowery,commons-cbgb-category,0.95,C,"Exact per-file dates/licenses live in attribution manifest."
2005-06-16,2005-06-16,cbgb-2000-2005,legal_record,"Landlord/tenant dispute material referenced in preservation record",315 Bowery,nrhp-bowery,0.85,D,"Court/lease chronology lead; legal filings may contain useful operational/address facts."
2006-07-24,2006-07-24,cbgb-2006-closing,research_record,"Historical documentation of 313-315 Bowery submitted to LPC",313-315 Bowery,kersavage-reaven-2006,0.98,D,"Priority-0 document acquisition target."
2006-10-15,2006-10-15,cbgb-2006-closing,venue_status,"CBGB closes; final Patti Smith show",315 Bowery,nrhp-bowery,0.98,D,"MusicBrainz independently records closure date 2006-10-15."
2008-01-01,2008-12-31,post-cbgb-2008-2009-preserved-retail,venue_status,"Post-CBGB retail conversion/opening period",315 Bowery,nrhp-bowery,0.85,D,"Use preservation documentation and current tenant history to refine exact dates."
2008-07-30,2008-07-30,post-cbgb-2008-2009-preserved-retail,visual_evidence,"ExCBGB facade photograph",315 Bowery,commons-ex-cbgb-2008,0.98,C,"Public-domain visual evidence."
2009-05-09,2009-05-09,post-cbgb-2008-2009-preserved-retail,visual_evidence,"Angie Garrett preserved-interior photo set",315 Bowery,commons-cbgb-interior-2009,0.98,C,"12-image category; strong post-closure geometry/feature registration set."
2026-08-08,2026-08-08,current-surviving-fabric,current_reference,"John Varvatos still lists Bowery store at 315 Bowery",315 Bowery,john-varvatos-bowery-current,0.95,D,"Current web listing is a permissioned-survey lead, not proof that every historical feature survives unchanged."
