priority,target,asset_or_access,why_needed,current_class,desired_class,action,status
0,"Current 315 Bowery tenant/property representative","Permissioned interior LiDAR/360/photo survey plus measurements","Best path to exact surviving shell and fixed historical fabric",D,B,"Request non-invasive research capture; define commercial digital-twin rights in writing",not_started
0,"Municipal Art Society / Place Matters / authors of 2006 report","Historical documentation of 313-315 Bowery, July 24 2006","Underlying source cited by National Register; may contain details absent from final report",D,B_or_authorized_research_copy,"Locate report and obtain research/derivative-use terms",not_started
1,"NYU Fales / Pat Ivers / Emily Armstrong rights holders","Selected NIGHTCLUBBING CBGB reels, especially wide-room/backstage/bathroom footage","Repeated viewpoints can solve 1977-1980 geometry and potentially power licensed historical media mode",D,B,"Request research viewing first; identify rights holders; license only selected high-value reels",not_started
1,"GODLIS","Selected wide CBGB interior/stage/audience photographs","High-quality 1970s overlapping views and historical atmosphere",D,B,"Approach for limited commercial digital-twin reconstruction/display license",not_started
1,"Roberta Bayley / represented archive","Selected CBGB interior and event photographs","Strong early-punk period visual evidence",D,B,"Identify useful wide views before requesting targeted license",not_started
1,"Bob Gruen archive","Selected CBGB room/facade/performer photographs","Potential overlapping historical viewpoints",D,B,"Target only images adding unique geometry/state evidence",not_started
1,"Chris Stein archive","Selected CBGB/Blondie-era photographs","Early venue/event and backstage evidence",D,B,"Target images with unique spatial coverage",not_started
2,"Cornell Rare and Manuscript Collections","CBGB flyer metadata/images for selected events","Chronology, address variants, event UI, graphic history",D,B_or_metadata_permission,"Ask for commercial display/licensing terms only for selected flyer images; metadata can remain reference",not_started
2,"NYPL / Cynthia MacAdams rights holder","1986 CBGB photograph and related collection leads","1980s historical-state evidence",D,B,"Request license only if image materially improves state reconstruction",not_started
2,"Village Preservation Historic Image Archive","CBGB/Bowery images including side/rear/facade context","Streetscape registration and historical building context",D,B,"Identify exact images first; request publication/derivative permission where valuable",not_started
2,"Rock & Roll Hall of Fame / artifact rights holder","Permissioned CBGB awning measurement/photo survey","Physical surviving artifact may supply exact sign/awning dimensions/material reference",D,B,"Ask museum/rights holder about research photography/measurement and digital recreation",not_started
3,"Official CBGB brand/archive","Brand marks, official history, archival material","Authentic signage/branding and potential event archives",D,B,"Discuss digital-twin partnership/licensing rather than scraping brand assets",not_started
3,"Former employees / sound engineers / bookers","Oral histories and layout sketches","Can resolve operational layout, stage, bar, backstage and equipment changes",D,B,"Structured interview/release form; treat memory as hypothesis until corroborated",not_started
3,"Bands/artists and tour photographers","Unpublished room/backstage photographs and recordings","Could fill unique temporal/spatial gaps",D,B,"Create contributor portal with rights grant and provenance capture",not_started
